#s	hn	av	tn	taivutus
aarteisto			2	
aasi			5	
aasialainen			38	
aasialaisuus			40	
aasimainen			38	
aasimaisesti			99	
aasimaisuus			40	
aasinpotku			1	
aasinsilta				
aatami			5	
aataminaikainen				
aataminomena				
aataminpuku				
aate		C	48	
aatehistoria				
aatekilpailu				
aateli			6	
aatelinen			38	
aatelisarvo				
aatelisherra				
aateliskalenteri				
aatelisnenä				
aatelissuku				
aatelissääty				
aatelisto			1	
aatelisuus			40	
aatelisvaakuna				
aateliton		C	34	
aateloida			62	
aatelointi		J	5	
aateluus			40	
aatemaailma				
aaterakennelma				
aatesisar				
aatesuunta				
aatetoveri				
aateveli				
aatevirtaus				
aatonaatto				
aatos			39	
aatra			9	
aatteellinen			38	
aatteellisesti			99	
aatteellisuus			40	
-aatteinen			38	
aatto		C	1	
aattoilta				
aava			9	
aavameri			51	
aave			48	
aavejuna				
aavekipu				
aavelaiva				
aavemainen			38	
aavemaisesti			99	
aavemaisuus			40	
aavikko		A	4	
aavikoitua		F	52	
aavistaa			53	
aavistamaton		C	34	
aavistella			67	
aavistuksenomainen				
aavistus			39	
aavistuslähtö				
abatsi			5	
abbedissa			9	
abessiivi			5	
abi			5	
abiturientti		C	5	
ablatiivi			5	
abnormi			5	
abnormius			40	
abo			1	
aboriginaali			5	
abortoida			62	
abortointi		J	5	
abortti		C	5	
aborttipilleri				
aborttitabletti				
abrakadabra			9	
absessi			5	
absintti		C	5	
abskissa			9	
absolutismi			5	
absolutisti			5	
absoluutti		C	5	
absoluuttinen			38	
absoluuttisesti			99	
absoluuttisuus			40	
absorboida			62	
absorbointi		J	5	
absorboitua		F	52	
absorptio			3	
abstinenssi			5	
abstinenssioire				
abstrahoida			62	
abstrahointi		J	5	
abstrahoitua		F	52	
abstrakti			5	
abstraktinen			38	
abstraktio			3	
abstraktisesti			99	
abstraktistaa			53	
abstraktisti			99	
abstraktistua			52	
abstraktisuus			40	
abstraktius			40	
absurdi			5	
absurdisti			99	
absurdius			40	
acajoupähkinä				
adagio			1	h
adaptaatio			3	
adapteri			6	
adaptoida			62	
adaptointi		J	5	
adaptoitua		F	52	
addikti			5	
addiktio			3	
adekvaatisti			99	
adekvaatti		C	5	
adekvaattius			40	
adenokarsinooma				
adenooma			10	
adenovirus				
adessiivi			5	
adheesio			3	
adjektiivi			5	
adjektiivinen			38	
adjektiivisesti			99	
adjektiivisuus			40	
adjutantti		C	5	
adjuvanttihoito				
adonis			39	
adoptio			3	
adoptiolapsi				
adoptoida			62	
adoptointi		J	5	
adrenaliini			5	
adressi			5	
adsorboida			62	
adsorbointi		J	5	
adsorboitua		F	52	
adsorptio			3	
adsukipapu				
adventismi			5	
adventisti			5	
adventti		C	5	
adventtiaika		D	9	
adventtikalenteri				
adventtikirkko				
adventtiseurakunta				
adventtisunnuntai				
adverbi			5	
adverbiaali			5	
adverbiaalinen			38	
adverbiaalisesti			99	
adverbiaalisuus			40	
adverbinen			38	
adverbisesti			99	
adverbisuus			40	
adversatiivinen			38	
adversatiivisesti			99	
adversatiivisuus			40	
aerobic			5	
aerobikata		A	73	
aerobikkaaja			10	
aerobikkaus			39	
aerobikki		A	5	
aerobinen			38	
aerobiologia			12	
aerobiologinen			38	
aerodynaaminen			38	
aerodynaamisesti				
aerodynamiikka		A	9	
aerosoli			5	
afaatikko		A	4	
afaattinen			38	
afasia			12	
affekti			5	
affektihäiriö				
affektiivinen			38	
affektiivisesti			99	
affektiivisuus			40	
affektinen			38	
affektisesti			99	
affektisuus			40	
affisio			3	
affisioida			62	
afgaani			5	
afgaaninvinttikoira				
aforismi			5	
aforismikokoelma				
aforistinen			38	
afrikaans			5	
afrikandi			5	
afrikkalainen			38	
afrikkalaisuus			40	
afro			1	
afroaasialainen				
afroamerikkalainen				
afrokampaus				
afrokommunismi				
afta			9	
afääri			5	
agaatti		C	5	
agaave			8	
agar			6	
agar-agar			6	
agenda			9	
agentti		C	5	
agenttifilmi				
agenttiromaani				
agentuuri			5	
agentuuriliike				
aggregaatti		C	5	
aggressiivinen			38	
aggressiivisesti			99	
aggressiivisuus			40	
aggressio			3	
agitaatio			3	
agitaattori			6	
agitatorinen			38	
agitoida			62	
agitointi		J	5	
agnostikko		A	4	
agnostinen			38	
agnostisesti			99	
agnostisismi			5	
agnostisuus			40	
agorafobia			12	
agraarinen			38	
agraaripolitiikka				
agraaripuolue				
agraarisuus			40	
agraarivaltio				
agrologi			5	
agronomi			5	
agronomia			12	
ah			99	
ahaa			99	
ahaa-elämys				
ahava			11	
ahavoittaa		C	53	
ahavoitua		F	52	
ahdas		F	41	
ahdashenkinen				
ahdashenkisesti				
ahdashenkisyys				
ahdaskatseinen				
ahdasmielinen				
ahdasmielisesti			99	
ahdasmielisyys				
ahdasnäköinen				
ahdasnäköisesti			99	
ahdasnäköisyys				
ahdasrajainen				
ahdasrajaisesti			99	
ahdasrajaisuus			40	
ahdata		F	73	
ahde		F	48	
ahdekaunokki				
ahdelauha			9	
ahdin		F	33	
ahdinko		G	1	
ahdinkotila				
ahdistaa			53	
ahdistaja			10	
ahdistelija			12	
ahdistella			67	
ahdistelu			2	
ahdistua			52	
ahdistuneesti			99	
ahdistuneisuus			40	
ahdistuneisuushäiriö				
ahdistunut			47	
ahdistus			39	
ahdistusneuroosi				
ahdistustila				
aherrus			39	
ahertaa		K	54	
ahertaja			10	
ahjo			1	
ahkera			10	
ahkeraan			99	
ahkeraliisa			9	
ahkerasti			99	
ahkeroida			68	
ahkerointi		J	5	
ahkeruus			40	
ahkio			3	
ahma			9	
ahmaista			66	
ahmaisu			2	
ahmatti		C	5	
ahmia			61	
ahmimishäiriö				
ahminta		J	9	
ahnaasti			99	
ahnas			41	
ahnaus			40	
ahne			48	
ahneesti			99	
ahnehdinta		J	9	
ahnehtia		F	61	
ahnehtija			12	
ahneus			40	
aho			1	
ahomansikka				
ahoniitty				
ahrain			33	
ahtaa		F	56	
ahtaaja			10	
ahtaalla			99	
ahtaalle			99	
ahtaasti			99	
ahtauma			10	
ahtaus	1		40	
ahtaus	2		39	
ahtausliike				
ahtaustyö				
ahtauttaa	1	C	53	
ahtauttaa	2	C	53	
ahtautua		F	52	
ahtautuma			10	
ahteri			6	
Ahti		F	5	
ahti		F	5	
ahtisaarna				
ahtoilma				
ahtojää				
ahtopaine				
ahtoutua		F	52	
ahven			32	
ahvenheinä				
ahvenruoho				
ahvenvita				
ai			99	
aidanne		J	48	
aidanrako				
aidanseiväs				
aidanvieri				
aidas			39	
aidaskääpä				
aidata		F	73	
aidoittaa		C	53	
aidosti			99	
AIDS			5	
AIDS-potilas				
aie		D	48	
aiemmin			99	
aiempi		H	16	
aiennus			39	
aientaa		J	54	
aiepöytäkirja				
aiesopimus				
aihe			48	
aiheellinen			38	
aiheellisesti			99	
aiheellistaa			53	
aiheellistua			52	
aiheellisuus			40	
aiheenmukainen				
aiheenvalinta				
aiheeton		C	34	
aiheettomasti			99	
aiheettomuus			40	
-aiheinen			38	
aihelma			10	
aihepiiri				
aihetodiste				
aiheuttaa		C	53	
aiheuttaja			10	
aiheutua		F	52	
aiheutus			39	
aihio			3	
aijai			99	
aika	1	D	9	
aika	2		99	
aika-ajo				
aikaansaada				
aikaansaamaton				
aikaansaamattomuus				
aikaansaannos			39	
aikaansaanti				
aikaansaapa		E	10	
aikaansaava			10	
aika-arvo				
aikaero				
aikaerorasitus				
aikaihminen				
aikailla			67	
aikailu			2	
aikainen			38	
aikaisemmin			99	
aikaisin			99	
aikaisintaan			99	
aikaistaa			53	
aikaistua			52	
aikaistus			39	
aikaisuus			40	
aikajakso				
aikajärjestys				
aikakauppa				
aikakausi				
aikakausjulkaisu				
aikakauskirja				
aikakauslehdistö				
aikakauslehti				
aikakirja				
aikakone				
aikakysymys				
aikakytkin				
aikalainen			38	
aikalaukaisin				
aikalisä				
aikalukko				
aikaluokka				
aikamatka				
aikamatkailu				
aikamatkustus				
aikamerkki				
aikamies				
aikamiespoika				
aikamiina				
aikamitta				
aikamoinen			38	
aikamuoto				
aikamäärä				
aikanaan			99	
aikansa			99	
aikapalkka				
aikapalkkainen				
aikapalkkaus				
aikapeli				
aikapommi				
aikapula				
aikarahtaus				
aikarajoitus				
aikasytytin				
aikasytytteinen				
aikasytytyksinen				
aikasytytys				
aikataulu				
aikatauluttaa		C	53	
aikatiedotus				
aikaurakka				
aikauttaa		C	53	
aikautus			39	
aikavalotus				
aikavaraus				
aikaveloitus				
aikavyöhyke				
aikaväli				
aikayksikkö				
aikido			2	
aikoa		D	52	
aikoinaan			99	
aikojaan			99	
aikomus			39	
aikuinen			38	
aikuisikä				
aikuiskaste				
aikuiskasvatus				
aikuiskoulutus				
aikuisopetus				
aikuisopiskelija				
aikuistua			52	
aikuisuus			40	
ailahdella		F	67	
ailahdus			39	
ailahtaa		F	53	
ailahtelu			2	
ailakki		A	5	
aimo			99	
aina	1		99	
aina	2		9	
ainainen			38	
ainaiseksi			99	
ainaisjäsen				
ainaisvakuutus				
ainakaan			99	
ainakin			99	
ainavihanta				
aine			48	
aineellinen			38	
aineellistaa			53	
aineellistua			52	
aineellistuma			10	
aineellisuus			40	
aineenkirjoittaja				
aineenkoetus				
aineenopettaja				
aineenvaihdunta				
aineenvaihduntahäiriö				
aineeton		C	34	
aineettomuus			40	
ainehiukkanen				
-aineinen			38	
aineistaa			53	
aineisto			2	
aineistokoe				
aineistua			52	
aineistuma			10	
ainejakoinen				
ainejärjestö				
ainekirjoitus				
ainekoostumus				
aineksenkeruu				
-aineksinen			38	
aineluokka				
aineluokkajärjestelmä				
ainemäärä				
aineopinnot				
aineosa				
aines			39	
ainesana				
aineseos				
aineskokoelma				
ainesosa				
ainespuu				
aineyhdistelmä				
ainiaaksi			99	
ainiaan			99	
ainiaksi			99	
ainian			99	
aino			1	
ainoa			15	
ainoalaatuinen				
ainoalaatuisuus				
ainoastaan			99	
ainoiskappale				
ainokainen			38	
ainu			1	
ainut			99	
ainutkertainen				
ainutkertaisuus			40	
ainutlaatuinen				
ainutlaatuisuus				
aioli			6	
airedalenterrieri				
airo			1	
aironlapa				
aironveto		F	1	
airopari			5	
airut			43	
aisa			9	
aisakello				
aisankannattaja				
aisapari			5	
aisata			73	
aisaus			39	
aisti			5	
aistia			61	
aistienvarainen				
aistiharha				
aistihavainto				
aistikas		A	41	
aistikkaasti			99	
aistikkuus			40	
aistillinen			38	
aistillisesti			99	
aistillisuus			40	
aistimaailma				
aistimus			39	
aistin			33	
aistinelin				
-aistinen			38	
aistinsolu				
aistivaikutelma				
aistivammainen				
aita		F	9	
aitajuoksija				
aitajuoksu				
aitapensas				
aitaus			39	
aitio			3	
aitiopaikka				
aito		F	1	
aitoa		F	52	
aitoamaryllis			50	
aitoperäinen				
aitosuomalainen			50	
aitosuomalaisuus			50	
aitosyöpä			50	
aitotumallinen			50	
aitous			40	
aitovieri			26	
aitta		C	9	
aituri			6	
aivan			99	
aivastaa			53	
aivastella			67	
aivastus			39	
aivastuttaa		C	53	
aivina			13	
aivipisto				
aivo			1	
aivoaine				
aivofilmi				
aivohalvaus				
aivohermo				
aivoinvalidi				
aivoitus			39	
aivojenpesu				
aivokalvo				
aivokalvontulehdus				
aivokammio				
aivokapasiteetti				
aivokasvain				
aivokirurgi				
aivokuolema				
aivokuollut				
aivokuori			26	
aivokurkiainen			38	
aivokuume				
aivokuva				
aivokuvaus				
aivokäyrä				
aivoleikkaus				
aivolisäke				
aivopaine				
aivopestä				
aivopesu				
aivopuolisko				
aivoriihi				
aivorunko				
aivosairaus				
aivo-selkäydinneste				
aivosolu				
aivosto			2	
aivosyntyinen				
aivosähkökäyrä				
aivot			1	
aivotoiminta				
aivotrusti				
aivotulehdus				
aivotyö				
aivotärähdys				
aivovamma				
aivovammainen				
aivovaurio				
aivovauriolapsi				
aivoverenkierto				
aivoverenvuoto				
aivoveritulppa				
aivovienti				
aivovoimistelu				
aivovuoto				
ajaa			56	
ajaantua		J	52	
ajaja			10	
ajallaan			99	
ajallinen			38	
ajallisesti			99	
ajallisuus			40	
ajanhaaskaus				
ajanhukka				
ajanjako				
ajanjakso				
ajankohta		F	10	
ajankohtainen				
ajankohtaisohjelma				
ajankohtaistaa			53	
ajankohtaistua			52	
ajankohtaisuus				
ajankulu				
ajankuluke		A	48	
ajankuva				
ajankuvaus				
ajanlasku				
ajan mittaan			99	
ajanmittaus				
ajanmukainen				
ajanmukaisesti				
ajanmukaistaa			53	
ajanmukaistua			52	
ajanmukaisuus			40	
ajanmääritys				
ajanottaja				
ajanotto				
ajanpuute				
ajansäästö				
ajantasainen				
ajantasaistaa			53	
ajantasaistus			39	
ajantasaisuus			40	
ajantasajärjestelmä				
ajantasakäsittely				
ajantilaus				
ajantuhlaus				
ajanvaraus				
ajanviete		C	48	
ajanvieteautomaatti				
ajanvietekirja				
ajanvietelehti				
ajanvieteohjelma				
ajanvietepeli				
ajanvietteellinen			38	
ajanvietto				
ajassa			99	
ajassaan			99	
ajastaa			53	
ajastaika		D	9	
ajastin			33	
ajastus			39	
ajatella		C	67	
ajatelma			10	
ajatollah			5	
ajaton		C	34	
ajattaa		C	53	
ajattelematon		C	34	
ajattelemattomasti			99	
ajattelemattomuus			40	
ajattelija			12	
ajattelu			2	
ajattelukyky				
ajattelukykyinen				
ajattelutapa				
ajatteluttaa		C	53	
ajattelutyö				
ajattomasti			99	
ajattomuus			40	
ajatuksekas		A	41	
ajatuksellinen			38	
ajatuksellisesti			99	
ajatuksenjuoksu				
ajatuksenkulku				
ajatuksenriento				
ajatuksensiirto				
ajatuksenvapaus				
ajatukseton		C	34	
ajatuksettomasti			99	
ajatuksettomuus			40	
-ajatuksinen			38	
ajatus			39	
ajatusharha				
ajatuskatko			1	
ajatusketju				
ajatuskoe				
ajatuskupla				
ajatusmaailma				
ajatusrakennelma				
ajatussisällys				
ajatussisältö				
ajatussuunta				
ajatustapa				
ajatustenlukija				
ajatustenluku				
ajatustensiirto				
ajatustenvaihto				
ajatustoiminta				
ajatustyö				
ajatusviiva				
ajatusvirhe				
ajatusvoimistelu				
ajatusyhteys				
ajautua		F	52	
ajelehtia		F	61	
ajella			67	
ajelu			2	
ajeluttaa		C	53	
ajettavuus			40	
ajettua		C	52	
ajettuma			10	
ajetuksissa			99	
ajo			1	
ajoaika		D	9	
ajoankkuri				
ajoharjoittelu				
ajoharjoittelurata				
ajoissa			99	
ajoittaa		C	53	
ajoittain			99	
ajoittainen			38	
ajoittaisuus			40	
ajoittua		C	52	
ajoitus			39	
ajojahti		F	5	
ajojää				
ajokaista				
ajokas	1	A	41	
ajokeli				
ajokelpoinen				
ajokielto				
ajokilometri				
ajokki		A	5	
ajokoe				
ajokoira				
ajokoirametsästys				
ajokortti				
ajokunto				
ajokuntoinen				
ajolinja				
ajolähtö				
ajomatka				
ajomestari				
ajometsästys				
ajomies				
ajomiina				
ajonestin				
ajonestolaite				
ajoneuvo				
ajoneuvoyhdistelmä				
ajonopeus				
ajo-ohje				
ajo-ominaisuus				
ajo-opetus				
ajopeli				
ajopiirturi				
ajoporo			1	
ajopuu				
ajopuuteoria				
ajopyynti				
ajopäiväkirja				
ajorata				
ajos			39	
ajosuunta				
ajotaito				
ajotekniikka				
ajotie				
ajotietokone				
ajotilanne				
ajoturvallisuus				
ajoura				
ajovalot				
ajoverkko				
ajoviima				
ajuri			6	
ajuruoho				
akaatti		C	5	
akallinen			38	
akana			12	
akankaali				
akansieni				
akantti		C	5	
akanvirta				
akasia			12	
akateemikko		A	4	
akateeminen			38	
akateemisesti			99	
akateemisuus			40	
akatemia			12	
akileija			9	
akilleenkantapää				
akillesjänne				
akka		A	9	
akkainlehti				
akkamainen			38	
akkamaisesti			99	
akkamaisuus			40	
akkautua		F	52	
akkavalta				
akklimatisaatio			3	
akklimatisoida			62	
akklimatisointi		J	5	
akklimatisoitua		F	52	
akkommodaatio			3	
akkommodaatiokyky				
akkreditoida			62	
akkreditointi		J	5	
akku		A	1	
akkukäyttöinen				
akkulaturi				
akkumulaattori			6	
akkuna			12	
akkusatiivi			5	
akkutoiminen				
akne			8	
akoittua		C	52	
akordi			5	
akrobaatti		C	5	
akrobatia			12	
akronyymi			5	
akryylimaalaus			39	
akryylimuovi				
akryyliväri				
akseli			6	
akselikuormitus				
-akselinen			38	
akselintappi				
akselipaino				
akselisto			1	
akseliteho				
akselivallat				
akseliväli				
aksentti		C	5	
aksenttimerkki				
akseptantti		C	5	
akseptata			73	
akseptaus			39	
aksepti			5	
akseptoida			62	
akseptointi		J	5	
aksiaalinen			38	
aksiaalisesti			99	
aksiaalisuus			40	
aksiomaattinen			38	
aksiomaattisesti			99	
aksiomaattisuus			40	
aksiomi			5	
aksiooma			10	
akti			5	
aktiivat			13	
aktiivi			5	
aktiivihiili				
aktiivihiilisuodatin				
aktiivijousitus				
aktiiviloma				
aktiivimuoto				
aktiivinen			38	
aktiivipalvelus				
aktiivisesti			99	
aktiivistaa			53	
aktiivistua			52	
aktiivisuus			40	
aktiiviupseeri				
aktiiviurheilija				
aktiiviväestö				
aktio			3	
aktivismi			5	
aktivisti			5	
aktiviteetti		C	5	
aktivoida			62	
aktivointi		J	5	
aktivoitua		F	52	
aktuaalinen			38	
aktuaalisesti			99	
aktuaalistaa			53	
aktuaalistua			52	
aktuaalisuus			40	
aktuaari			5	
aktualisoida			62	
aktualisointi		J	5	
aktualisoitua		F	52	
aktuelli			5	
akuhieronta				
akuhoito				
akunlaturi				
akupiste				
akupunktuuri			6	
akupunktuurineula				
akupunktuuripiste				
akustiikka		A	9	
akustiikkalevy				
akustinen			38	
akustisesti			99	
akusto			2	
akuutisti			99	
akuutti		C	5	
akuuttinen			38	
akvaario			3	
akvaariokala				
akvaariokasvi				
akvamariini			5	
akvarelli			5	
akvarelliliitu				
akvarelliväri				
akvatinta			9	
akvaviitti		C	5	
à la			99	
ala			9	
ala-				
ala-arvoinen				
ala-arvoisesti			99	
ala-arvoisuus				
ala-aste				
alabasteri			6	
à la carte			8	
à la carte -annos				
aladobi			5	
alahammas				
alahanka				
alahuone				
alahuuli				
alaikäinen				
alaikäisyys				
alaikäraja			9	
alainen			38	
alaisuus			40	
alajuoksu				
alakansakoulu				
alakansi				
alakantissa			99	
alakanttiin			99	
alakautta				
alakerros				
alakerta				
alakierre				
alakierrelyönti				
alakierteinen				
alakkain			99	
alakkainen			38	
alakohta		F	10	
alakoukku				
alakoulu				
alakoululainen				
alakulo			1	
alakuloinen			38	
alakuloisesti			99	
alakuloisuus			40	
alakulttuuri				
alakunto				
alakuntoinen				
alakuntoisuus				
alakuu				
alakynnessä			99	
alakynteen			99	
alalaji				
alalanka				
alaleuka				
alaleukaluu				
alaliittymä				
alallaan			99	
alalleen			99	
alaluokka				
alaluokkalainen				
alaluomi				
alamaa				
alamaailma				
alamaihin				
alamainen			38	
alamaisesti			99	
alamaissa				
alamaisuus			40	
alamitta				
alamittainen				
alamäki				
alanko		G	1	
alankomaalainen				
alanne		J	48	
alanumero				
alanurkka				
alanurkkalaukaus				
alaoksa				
alaosa				
alaosasto				
alaotsikko				
alapesu				
alapeti				
alapinta				
alapohja				
alapuhelin				
alapuoli				
alapuolinen				
alapuolisko				
alapää				
alaraaja				
alaraja			9	
alareuna				
alarivi				
alaruumis				
alaryhmä				
alas			99	
alasajo				
alaselkä				
alasin			33	
alaslaskettava			10	
alaspäin				
alaspäinen				
alaspäinmeno				
alassuin			99	
alasti			99	
alastomuus			40	
alastomuuskulttuuri				
alaston			34	
alastonkuva				
alastonmalli				
alastontutkielma				
alastulo				
alastulorinne				
alateitse				
alati			99	
alatiesynnytys				
alatusten			99	
alatuuleen			99	
alatuulessa			99	
alatyyli				
alatyylinen				
alava			10	
alavatsa				
alaviistoon				
alaviistossa				
alaviite				
alavireinen				
alavireisyys				
alavirta				
alavuus			40	
alayksikkö				
alaääni				
alba			9	
albaani			6	
albania			12	
albanialainen			38	
albanian kieli				
albatrossi			5	
albiino			2	
albinismi			5	
albumi			6	
ale	1		8	
ale	2		8	
alehalli			5	
alehinta				
alekkain			99	
aleksityymikko		A	4	
aleksityyminen			38	
alemma			99	
alemmaksi			99	
alemmas			99	
alemmuudentunne				
alemmuus			40	
alemmuuskompleksi				
alempaa			99	
alempana			99	
alempi		H	16	
alempiarvoinen				
alenema			10	
aleneva			10	
alennus			39	
alennushalli			5	
alennushinta				
alennuskuponki				
alennuslippu				
alennusmerkki				
alennusmyynti				
alennustavaratalo				
alennustila				
alennusvaihde				
alentaa		J	54	
alentava			10	
alentua		J	52	
alentuva			10	
alentuvainen			38	
alentuvaisesti			99	
alentuvaisuus			40	
alentuvasti			99	
alentuvuus			40	
aleta			72	
aletusten			99	
alfa			9	
alfahiukkanen				
alfalfa			9	
alfanumeerinen				
alfasäteet				
alfasäteily				
algebra			11	
algebrallinen			38	
algoritmi			5	
alhaalla			99	
alhaalle			99	
alhaalta			99	
alhainen			38	
alhaisaateli				
alhaisesti			99	
alhaiso			2	
alhaissukuinen				
alhaissäätyinen				
alhaisuus			40	
alho			1	
ali			99	
ali-				
aliarvioida				
aliarviointi				
aliarvostaa				
aliarvostus				
alias			99	
alibi			5	
aliedustettu		C	1	
aliedustus				
alihallinto				
alihankinta				
alihankkija				
alihinta				
alijohtaja				
alijäähtyä				
alijäämä				
alijäämäinen			38	
alikaliiperiammus				
alikasvos			39	
alikehittynyt				
alikersantti				
alikriittinen				
alikulku				
alikulkutunneli				
alikäytävä				
aliluutnantti				
alimitoittaa				
alimma			99	
alimmainen			38	
alimmaksi			99	
alimmas			99	
alimpana			99	
alin			36	
alinen			38	
alinomaa			99	
alinomainen			38	
aliohjautuva			10	
aliohjautuvuus				
alioikeus				
alipaine				
alipaineinen				
alipaino				
alipainoinen				
alipainoisuus				
alipalkattu		C	1	
alipalkkainen				
alipalkkaisuus				
alipalkkaus				
aliperämies				
alipäällikkö				
alipäällystö				
alipääsihteeri				
aliravitsemus				
aliravittu		C	1	
alistaa			53	
alisteinen			38	
alisteisuus			40	
alistua			52	
alistus			39	
alistuskonjunktio				
alistussuhde				
alistuva			10	
alistuvainen			38	
alistuvaisuus			40	
alistuvuus			40	
alitajuinen				
alitajunta				
alitehoinen				
alitse			99	
alittaa		C	53	
alittua		C	52	
alituinen			38	
alituiseen			99	
alituisesti			99	
alituotanto				
alitus			39	
alitusten			99	
alityöllisyys				
aliupseeri				
aliupseerikoulu				
aliupseerinarvo				
aliupseeristo				
aliurakka				
aliurakoida				
aliurakointi				
aliurakoitsija				
alivakuuttaa				
alivakuutus				
alivalottaa				
alivalottua				
alivalotus				
alivaltiosihteeri				
alivoima				
alivoimainen				
alivoimaisuus				
alivoimapeli				
alivuokralainen				
alivuokrasuhde				
alkaa		D	56	
alkaen			99	
alkaja			10	
alkajaiset			38	
alkajaisjuhla				
alkali			6	
alkalimetalli				
alkalinen			38	
alkaliparisto				
alkalisuola				
alkalisuus			40	
alkaloidi			5	
alkamisaika		D	9	
alkamispäivä				
alkeellinen			38	
alkeellisesti			99	
alkeellisuus			40	
alkeet			48	
alkeis-				
alkeishiukkanen				
alkeisjuuri			26	
alkeiskirja				
alkeiskurssi				
alkeislehti				
alkeisopetus				
alkeisopinnot				
alkeisrihma				
alkeissilmu				
alkeistiedot				
alkeistumallinen				
alkeisvaraus				
alkeisvarsi				
alkemia			12	
alkemisti			5	
alkio			3	
alkiokalvo				
alkiolainen			38	
alkiolaisuus			40	
alkionsiirto				
alkoholi			5	
alkoholihumala				
alkoholijuoma				
alkoholikassa				
alkoholikäyminen				
alkoholilainsäädäntö				
alkoholimyrkytys				
alkoholimyymälä				
alkoholinkäyttö				
alkoholiongelma				
alkoholiongelmainen				
alkoholipitoinen				
alkoholipitoisuus				
alkoholipolitiikka				
alkoholiprosentti				
alkoholiriippuvuus				
alkoholismi			5	
alkoholisoitua		F	52	
alkoholisti			5	
alkoholistihuolto				
alkoholiton		C	34	
alkometri			5	
alkovi			5	
alku		D	1	
alkuaan			99	
alkuaika		D	9	
alkuaine				
alkuaste				
alkuasukas				
alkuasukasheimo				
alkucocktail				
alkudrinkki				
alkueliö				
alkueläin				
alkuerä				
alkuhärkä				
alkuihminen				
alkuilta				
-alkuinen			38	
alkuisin			99	
alkujaan			99	
alkujakso				
alkujuoma				
alkujuuri			26	
alkukankeus				
alkukantainen				
alkukantaisesti			99	
alkukantaisuus				
alkukarsinta				
alkukehto				
alkukesä				
alkukevät				
alkukieli				
alkukielinen				
alkukilpailu				
alkukirjain				
alkukirkko				
alkukohta		F	10	
alkukoktaili				
alkukoti				
alkukoulutus				
alkukristillinen				
alkukristillisyys				
alkukuu				
alkukuukausi				
alkukuva				
alkukymmen				
alkulause				
alkulima				
alkuliturgia				
alkuluku				
alkulähde				
alkumatka				
alkumerkki				
alkuminuutti				
alkumuoto				
alkuopetus				
alkuopinnot				
alkuosa				
alkupala				
alkupalkka				
alkuperusta				
alkuperuste				
alkuperä				
alkuperäinen				
alkuperäisesti			99	
alkuperäiskansa				
alkuperäiskappale				
alkuperäispakkaus				
alkuperäisteos				
alkuperäisyys				
alkuperämaa				
alkuperämerkintä				
alkuperätodistus				
alkupiste				
alkupotku			1	
alkupuoli				
alkupuolisko				
alkupäivä				
alkupää				
alkupääoma				
alkuruoka				
alkuräjähdys				
alkusanat				
alkuseurakunta				
alkusivu				
alkusoinnullinen				
alkusointu				
alkusoitto				
alkusukulaisuus				
alkusyksy				
alkusynty				
alkusysäys				
alkusyy				
alkutahti				
alkutaipale				
alkutaival				
alkutalvi				
